mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
169,0.12060048541223461,0.5493495034832556,1122,615,507,0.5481283422459893,0.45187165775401067
170,0.15938487545464913,0.622921412126745,1105,661,444,0.5981900452488688,0.40180995475113124
171,0.07273502970978035,0.6158284351972121,179,93,86,0.5195530726256983,0.48044692737430167
172,0.12530321656143137,0.5303411399288028,1498,851,647,0.568090787716956,0.4319092122830441
173,-0.21520440417556014,0.5693385647449127,722,221,501,0.3060941828254848,0.6939058171745153
174,0.24101771643956701,0.5750218862969348,753,502,251,0.6666666666666666,0.3333333333333333
175,0.15089251383242555,0.6593330612396411,642,358,284,0.557632398753894,0.4423676012461059
176,0.15422165651485908,0.687934865316532,1992,1118,874,0.5612449799196787,0.4387550200803213
177,-0.2829859785544838,0.5584162728111736,703,185,518,0.2631578947368421,0.7368421052631579
178,-0.07322158558028082,0.4380198641870704,7,3,4,0.42857142857142855,0.5714285714285714
179,0.1438191359930703,0.6177926569629966,356,206,150,0.5786516853932584,0.42134831460674155
180,0.14019773374047872,0.5816143361858215,1024,593,431,0.5791015625,0.4208984375
181,0.10053446277763588,0.6121190504347951,1999,1099,900,0.5497748874437218,0.4502251125562781
182,-0.003562878872594338,0.5508073028272122,893,390,503,0.43673012318029114,0.5632698768197089
183,-0.5375185309288403,0.3559876832717824,12,1,11,0.08333333333333333,0.9166666666666666
184,-0.25140277332151734,0.6014829004137289,1729,525,1204,0.30364372469635625,0.6963562753036437
185,-0.1534158327187339,0.6339089548919425,167,62,105,0.3712574850299401,0.6287425149700598
186,-0.13000706336298837,0.6775166620261098,402,154,248,0.38308457711442784,0.6169154228855721
187,0.08504319867358527,0.5340202475900219,358,189,169,0.5279329608938548,0.4720670391061452
188,0.08346141111839181,0.6337434491539905,838,465,373,0.5548926014319809,0.4451073985680191
189,0.12371895077062141,0.6176557540156916,257,128,129,0.4980544747081712,0.5019455252918288
190,0.2711998003105691,0.543344973970656,256,172,84,0.671875,0.328125
191,0.34674318597595,0.5721955876617502,98,68,30,0.6938775510204082,0.30612244897959184
192,0.26959889133399473,0.6048036528295313,167,111,56,0.6646706586826348,0.33532934131736525
193,0.11134107865260116,0.5892580006503636,140,78,62,0.5571428571428572,0.44285714285714284
194,0.09092706545805834,0.5933220305923639,371,204,167,0.5498652291105122,0.4501347708894879
195,-0.5315270110964775,0.36112699766361106,5,1,4,0.2,0.8
196,0.27480873235422,0.603083284350965,223,154,69,0.6905829596412556,0.3094170403587444
197,-0.30113193675651584,0.6244786566121654,133,38,95,0.2857142857142857,0.7142857142857143
198,0.12444864914160718,0.5838587152420167,1015,566,449,0.5576354679802956,0.44236453201970444
199,0.06473167917157902,0.6122722903924349,613,314,299,0.5122349102773246,0.48776508972267535
200,-0.07894742663710246,0.6476626687375822,1750,736,1014,0.4205714285714286,0.5794285714285714
201,-0.22872611889791378,0.6730527840667111,265,97,168,0.3660377358490566,0.6339622641509434
202,0.0835721428338133,0.6731011537114698,61,35,26,0.5737704918032787,0.4262295081967213
203,0.036921135593859955,0.5683869629271163,279,135,144,0.4838709677419355,0.5161290322580645
204,-0.16572055896107532,0.6513990139190174,237,89,148,0.3755274261603376,0.6244725738396625
205,-0.15426961156791535,0.672696527527059,732,293,439,0.40027322404371585,0.5997267759562842
206,0.20136082187198792,0.6993106668240825,736,454,282,0.6168478260869565,0.38315217391304346
207,0.07429069310698348,0.6858772274283623,192,105,87,0.546875,0.453125
208,0.06759175095109876,0.6412495274054235,237,127,110,0.5358649789029536,0.4641350210970464
209,0.17947462609719853,0.6325036437904077,710,428,282,0.6028169014084507,0.3971830985915493
210,0.05595804264932774,0.5664624416345658,307,156,151,0.50814332247557,0.49185667752442996
211,-0.07817821094596927,0.6290380090193469,264,113,151,0.42803030303030304,0.571969696969697
212,0.400043602632005,0.5904409315706605,79,58,21,0.7341772151898734,0.26582278481012656
213,0.32232182102250684,0.5499853841050387,1370,983,387,0.7175182481751825,0.2824817518248175
214,0.34784812904713464,0.5562825259757531,1421,1012,409,0.7121745249824067,0.28782547501759326
215,-0.009380698952750833,0.6039881899306513,255,121,134,0.4745098039215686,0.5254901960784314
216,-0.21349863790641407,0.60612386299269,1245,420,825,0.3373493975903614,0.6626506024096386
217,-0.18878988376153366,0.6944625495225619,182,70,112,0.38461538461538464,0.6153846153846154
218,0.0935015674575892,0.7094067172278408,659,345,314,0.5235204855842185,0.4764795144157815
219,0.30987303332574123,0.5709313891014828,690,470,220,0.6811594202898551,0.3188405797101449
220,-0.148598763755824,0.605807451581733,1981,726,1255,0.36648157496214034,0.6335184250378597
221,-0.37286220170286166,0.589549524688144,254,55,199,0.21653543307086615,0.7834645669291339
222,0.09051291855925013,0.5998131803675205,271,142,129,0.5239852398523985,0.47601476014760147
223,0.2881707987794512,0.6140301137486873,662,439,223,0.6631419939577039,0.3368580060422961
224,0.3230984043966756,0.5425776049381928,117,84,33,0.717948717948718,0.28205128205128205
225,0.16135356320418553,0.531316694238278,436,262,174,0.6009174311926605,0.39908256880733944
226,-0.1368126029144455,0.6777889716759008,439,175,264,0.39863325740318906,0.6013667425968109
227,-0.10224019991116481,0.6656373263252989,222,86,136,0.38738738738738737,0.6126126126126126
228,0.16610135463787015,0.6237308081855754,221,129,92,0.583710407239819,0.416289592760181
229,-0.3714289231042501,0.5525545672764584,447,99,348,0.2214765100671141,0.7785234899328859
230,0.20032542523014377,0.5614797188533519,631,378,253,0.5990491283676703,0.4009508716323296
231,0.35492256741002626,0.6094531293630728,354,268,86,0.7570621468926554,0.24293785310734464
232,-0.059457946863272285,0.6387476821068413,332,143,189,0.4307228915662651,0.5692771084337349
233,0.04635646539440347,0.5949253859620869,590,301,289,0.5101694915254237,0.48983050847457626
234,0.19030481162444343,0.5939834181497812,1270,780,490,0.6141732283464567,0.3858267716535433
235,-0.12525534292416912,0.5742717383080386,175,69,106,0.3942857142857143,0.6057142857142858
236,0.02713566524941568,0.6470397970856349,277,139,138,0.5018050541516246,0.4981949458483754
237,0.09582972543706235,0.7209183842354491,38,20,18,0.5263157894736842,0.47368421052631576
238,-0.21909874408445085,0.6335035980142214,567,187,380,0.3298059964726631,0.6701940035273368
