Title,Box Office,Average Price,Average Attendance,year
公主的诱惑,153,27.997437999999995,3.0,2013
公牛历险记,17202,32.14418,12.0,2018
六人-泰坦尼克上的中国幸存者,381,35.552856,2.0,2021
六人晚餐,228,31.37416,3.0,2017
六尺巷,1,30.00662,4.0,2025
六年，六天,1162,41.04406,18.0,2017
六弄咖啡馆,653,30.672478000000005,4.0,2016
六福喜事,8088,31.101414,15.0,2014
兰亭,108,10.206961,115.0,2013
兰心大剧院,2171,38.464195,3.0,2021
兰辉,77,25.566471,64.0,2014
关于我妈的一切,15008,33.674023,5.0,2021
关于爱情和那些魔鬼,65,30.821594,3.0,2012
关云长,15735,33.68276999999999,26.0,2011
关键第四号,11597,32.67302,24.0,2011
兵临城下之决战要塞,536,32.0113,7.0,2012
养家之人,638,32.105766,3.0,2019
养蜂人,11419,40.59883,3.0,2024
内沙,18,35.9999,0.0,2025
冈仁波齐,10013,32.858505,16.0,2017
再会长江,1025,46.197056,7.0,2024
再吻我一次,307,30.176886000000003,9.0,2011
再次出发之纽约遇见你,2024,36.94586,19.0,2015
再爱一次好不好,65,25.498398,3.0,2014
再见吧！少年,387,40.68083,2.0,2020
再见土拨鼠,570,36.355503,11.0,2024
再见我们的十年,534,29.379503,3.0,2015
再见汪先森,1354,40.912403,5.0,2021
再见，也许不再见,17,37.866695,1.0,2025
再见，在也不见,1146,29.045393,5.0,2016
再见，少年,2025,35.951168,2.0,2021
再见，李可乐,24106,40.689762,6.0,2023
再见，陌生人,45,28.940853,7.0,2020
冏样喜事,53,41.82431,23.0,2022
冒牌卧底,2227,31.453290758868434,21.937135159407273,2016
农民院士,112,35.63677,3.0,2022
冠军,112,44.259697,9.0,2023
冥绝村,771,32.062737,2.0,2023
冬荫功2：拳霸天下,1131,35.884155,7.0,2014
冰上时刻,167,32.39129,7.0,2022
冰封侠：时空行者,3449,31.944714,4.0,2018
冰封：重生之门,14258,36.47258,15.0,2014
冰山下的守望者,246,36.47848,7.0,2023
冰峰暴,1273,36.374886,2.0,2019
冰川时代2：融冰之灾,4413,33.670135,10.0,2014
冰川时代3,20,48.63897,38.0,2012
冰川时代4,44741,38.105618,28.0,2012
冰川时代5：星际碰撞,44656,31.573166000000004,15.0,2016
冰河追凶,4308,28.109343,7.0,2016
冰雪11天,946,47.45629,19.0,2012
冰雪大作战,4318,31.033444999999997,8.0,2017
冰雪大作战2,1208,33.717163,4.0,2021
冰雪奇缘,29817,36.91162,27.0,2014
冰雪奇缘2,86075,34.40126912705199,11.823270403717688,2019
冰雪女王,401,32.339394,5.0,2015
冰雪女王2：冬日魔咒,3530,31.631718866855525,10.832861189801699,2016
冰雪女王3：火与冰,7423,31.331898,9.0,2018
冰雪女王4：魔镜世界,2356,31.576304999999998,7.0,2019
冰雪女王5：融冰之战,939,36.609497000000005,3.0,2024
冲·撞,120,35.79869,1.0,2025
冲上云霄,15591,36.605583,26.0,2015
冲出地球,1001,35.04818,2.0,2022
冲天火,3616,29.14352,7.0,2016
冲锋号,20,31.860947,4.0,2013
冲锋战警,482,29.922243,6.0,2013
冲锋车,2089,31.631985,8.0,2015
决战中途岛,29398,32.468124,9.0,2019
决战食神,12167,32.953236,14.0,2017
决胜时刻,12441,39.32790409324009,9.14918414918415,2019
冷恋时代,335,31.535278000000005,4.0,2018
冷瞳,278,29.256994,6.0,2013
冷血追击,537,31.407833,3.0,2019
净地,538,43.925694,21.0,2021
凌晨两点半2,711,31.575985,3.0,2023
凤鸣飞天,5,30.846874000000003,13.0,2025
凶间雪山,755,30.228749414569535,7.249006622516556,2012
出入平安,2113,41.801487,5.0,2024
出发,734,35.98064,26.0,2024
出山记,589,34.481243,41.0,2018
出拳吧，妈妈,399,35.753036,1.0,2022
出走的决心,12402,39.88753,3.0,2024
刀剑神域进击篇：暮色黄昏,3294,31.941179999999996,3.0,2023
刀剑神域：序列之争,5392,29.90431,9.0,2017
刀尖,5176,42.40098,4.0,2023
刀见笑,2214,31.468699,12.0,2011
分手再说我爱你,1272,31.320203110849057,20.0,2015
分手合约,19282,31.623087,21.0,2013
分手大师,66505,33.37173,34.0,2014
分手达人,418,31.25449,4.0,2014
分歧者2：绝地反击,10997,37.317657,16.0,2015
分歧者3：忠诚世界,12189,28.355757,10.0,2016
分歧者：异类觉醒,7663,33.28331,15.0,2014
刑场上的婚礼,200,32.02439,41.0,2020
刑警兄弟,3024,29.264275,10.0,2016
创：战纪,11828,44.06493,27.0,2011
初到东京,52,26.040825,3.0,2012
初恋未满,208,29.579264,3.0,2013
初恋这件小事,402,31.422163,5.0,2012
初恋这首情歌,72,32.877407,1.0,2020
初步举证,3538,40.246044,4.0,2025
判我有罪,866,28.85875,11.0,2016
利刃出鞘,20030,33.662587185222165,9.982326510234648,2019
别叫我“赌神”,4078,35.60003,5.0,2023
别告诉她,382,41.035866,3.0,2020
别惹我,5650,32.04284,13.0,2014
别有动机,1187,32.570396,5.0,2015
刮大风,1,37.729904,22.0,2025
制暴：无限杀机,4454,39.303905,2.0,2025
制服,1283,28.936023999999996,8.0,2013
刺夜,67,30.541962,2.0,2013
刺客信条,16072,35.85716,11.0,2017
刺客聂隐娘,6109,33.775864,15.0,2015
刺杀小说家,103520,47.265743,16.0,2021
刺杀盖世太保,393,30.63592,3.0,2017
刺猬,14461,40.6685,4.0,2024
刺猬小子之天生我刺,817,29.692728,8.0,2016
刺猬索尼克,1994,28.538914,4.0,2020
刺猬索尼克3,4415,37.741283,3.0,2025
前任2：备胎反击战,25170,30.21409,19.0,2015
前任3：再见前任,194190,35.06083627416963,30.192012976981307,2017
前任4：英年早婚,101231,42.32932,10.0,2023
前任攻略,12950,32.47075,21.0,2014
前度,335,35.498222,19.0,2011
前目的地,1209,34.842106,6.0,2015
剩女小爱,489,44.97679,27.0,2021
剩者为王,6141,29.971686999999996,12.0,2015
力量密码,1701,36.677223,35.0,2023
功夫.咏春,3,54.20000000000001,71.0,2011
功夫世家,19,16.848259,141.0,2013
功夫侠,62,32.136906,4.0,2013
功夫四侠,242,24.602013,4.0,2016
功夫四侠：勇闯地宫,519,34.487766,11.0,2019
功夫战斗机,122,33.907536,3.0,2013
功夫梦：融合之道,67,35.9732,1.0,2025
功夫熊猫2,61173,37.799763,42.0,2011
功夫熊猫3,100054,35.606167,25.0,2016
