id,title,year,rating_count,rating_score,tp_drama,tp_comedy,tp_action,tp_romance,polarity_mean,polarity_std,comment_count,positive_ratio,negative_ratio,box_off,avg_price,avg_attend
383,荒原,2023,,,1,0,0,0,-0.0470506393334321,0.6474377147062488,57,0.4385964912280701,0.5614035087719298,195,39.967045,1.0
384,倍儿喜欢你,2023,,,0,1,0,1,-0.1017905689556809,0.6199916488164742,17,0.4117647058823529,0.5882352941176471,530,37.043232,1.0
386,灿烂的她,2024,,,1,0,0,0,0.0038330230170731,0.6575829539665922,159,0.4654088050314465,0.5345911949685535,10028,38.203873,3.0
389,向阳·花,2025,,,1,0,0,0,0.0041556543243738,0.7353655948041812,144,0.4930555555555556,0.5069444444444444,23044,39.56057,3.0
392,匹夫,2012,180.0,6.8,1,0,1,0,0.0027777076767826,0.6979180301957615,54,0.4259259259259259,0.5740740740740741,2624,32.27617937652439,24.796493902439025
393,奋斗,2011,,,1,1,0,1,-0.2022101521078083,0.6859610225660591,18,0.3888888888888889,0.6111111111111112,565,30.939978,11.0
394,野孩子,2024,616.0,9.2,1,0,0,0,0.33240788653768,0.5947413474324627,474,0.7109704641350211,0.2890295358649789,24123,39.919666,4.0
396,江湖儿女,2018,112.0,8.7,0,0,0,1,0.1245044451507349,0.5972171907874312,93,0.5376344086021505,0.4623655913978494,6995,33.936447,6.0
401,我的新野蛮女友,2016,148.0,4.5,0,1,0,1,-0.1056980435969308,0.5914548346563552,32,0.40625,0.59375,3413,28.45867,7.0
403,浮城谜事,2012,281.0,8.9,1,0,0,0,-0.0544294966705914,0.641972288172722,87,0.4137931034482758,0.5862068965517241,552,30.405878000000005,5.0
406,李献计历险记,2011,628.0,8.5,0,0,0,1,0.0511844874435693,0.6102569541234154,196,0.5306122448979592,0.4693877551020408,697,32.742977,9.0
407,黑猫警长之翡翠之星,2015,195.0,8.1,0,1,1,0,0.0185470577329397,0.6323724627886326,120,0.4666666666666667,0.5333333333333333,7058,31.070280000000004,15.0
409,长江图,2016,141.0,8.8,1,0,0,1,0.2283751975240496,0.5802950319825849,48,0.6458333333333334,0.3541666666666667,326,30.5363,4.0
413,饮食男女-好远又好近,2012,,,1,1,0,1,-0.2673492495362696,0.5679884894022766,19,0.3684210526315789,0.631578947368421,450,30.735168,6.0
414,老男孩猛龙过江,2014,195.0,8.9,1,1,0,0,0.1201659729397231,0.6014266532939426,91,0.5494505494505495,0.4505494505494505,20864,30.766651,26.0
418,逆战,2012,,,1,0,1,0,0.2786101846334834,0.5917884963758728,48,0.7083333333333334,0.2916666666666667,12924,33.186222,30.0
421,大明劫,2013,2794.0,9.8,1,0,0,0,0.1773193438584536,0.603905903826937,929,0.589881593110872,0.4101184068891281,418,31.145758,6.0
424,负负得正,2024,,,1,0,0,1,0.1220032650664418,0.6182046707331889,247,0.5748987854251012,0.4251012145748988,7008,45.38849,5.0
428,初到东京,2012,132.0,8.6,1,0,0,1,0.2417283683394392,0.6704025111133872,45,0.6444444444444445,0.3555555555555555,52,26.040825,3.0
430,特技狂人,2024,,,1,0,1,0,0.1343846089344044,0.6054711294239518,61,0.5573770491803278,0.4426229508196721,895,47.20644,2.0
431,温柔壳,2023,,,1,0,0,1,0.4425566511256902,0.5493084466744993,66,0.7727272727272727,0.2272727272727272,1727,40.720932,3.0
435,三少爷的剑,2016,154.0,5.6,1,0,1,0,-0.3000651763136228,0.6009616612326483,124,0.2741935483870967,0.7258064516129032,10040,36.247845,11.0
438,最佳嫌疑人,2014,107.0,7.0,0,1,0,1,-0.0123635372789255,0.7535220694880684,29,0.5172413793103449,0.4827586206896552,875,30.431519,4.0
440,越来越好之村晚,2013,207.0,6.3,0,1,0,1,-0.0252641574086913,0.6007148039316416,83,0.4698795180722891,0.5301204819277109,2993,32.39825,14.0
441,请叫我英雄,2012,,,0,1,0,0,-0.4736390836875547,0.4734113072390872,11,0.1818181818181818,0.8181818181818182,193,30.560438,5.0
443,绝地战警：生死与共,2024,,,0,1,1,0,0.2047377408349088,0.6107927888302648,14,0.7142857142857143,0.2857142857142857,3667,40.301018,3.0
446,史前怪兽,2013,326.0,4.6,0,0,1,0,-0.2076132869848809,0.6144940625797888,119,0.3361344537815126,0.6638655462184874,3464,35.767846746535795,15.166281755196303
449,啊朋友还钱,2013,192.0,8.5,0,1,0,0,0.1402817127743253,0.6111317107762853,81,0.5679012345679012,0.4320987654320987,247,36.87773,3.0
452,情况不妙,2016,,,0,1,0,0,-0.4343558193751327,0.5766919001664297,23,0.1739130434782608,0.8260869565217391,884,25.33111,8.0
455,祝你幸福！,2024,,,1,0,0,0,0.1922381387146956,0.6680454974847997,85,0.6,0.4,6009,40.679493,3.0
457,我11,2012,323.0,9.5,1,0,0,0,0.3702772041495011,0.5715348218230141,123,0.7317073170731707,0.2682926829268293,483,29.285082,5.0
461,金钱堡垒,2024,,,1,0,0,0,-0.2681007073260844,0.5810973099471796,30,0.3,0.7,315,35.70778,1.0
463,那个不为人知的故事,2024,,,1,0,0,1,-0.1343790359262909,0.6777756510458843,56,0.375,0.625,11305,38.727596,4.0
470,脑洞大开,2024,,,0,1,0,0,-0.4407313191492495,0.4912136598291194,58,0.1724137931034483,0.8275862068965517,443,39.033108,2.0
471,深夜前的五分钟,2014,302.0,9.3,0,0,0,1,0.3878885863576921,0.5916234163876147,147,0.7551020408163265,0.2448979591836734,998,32.047977,7.0
472,非狐外传,2014,,,0,0,0,1,-0.3026352096349001,0.6718686105799516,5,0.4,0.6,589,30.244085,6.0
473,绑架游戏,2024,,,1,0,0,0,-0.2222716351675372,0.6617489383026748,63,0.3333333333333333,0.6666666666666666,1616,33.892513,2.0
474,愤怒的小孩,2013,,,0,1,0,0,0.2328959101516949,0.4787711042221951,19,0.6842105263157895,0.3157894736842105,837,28.134584,11.0
475,贝肯熊：火星任务,2023,,,0,1,0,0,0.252651023440697,0.630428970881948,47,0.6170212765957447,0.3829787234042553,8137,36.66673,6.0
477,绝命航班,2014,,,0,0,1,0,-0.2645007570584615,0.733803996486523,3,0.3333333333333333,0.6666666666666666,3661,38.05305,10.0
478,恶战,2014,254.0,8.3,1,0,1,0,0.1334412389486614,0.6694673370080338,72,0.5972222222222222,0.4027777777777778,781,29.532482,7.0
479,不说话的爱,2025,823.0,9.8,1,0,0,0,0.4725908643805084,0.5419326570018094,678,0.8023598820058997,0.1976401179941003,14406,41.20269,3.0
484,白毛女,2016,311.0,9.7,1,0,0,0,0.0278294113918374,0.515918524616665,78,0.4871794871794871,0.5128205128205128,584,30.333685,7.0
487,恶行之外,2025,,,1,0,0,0,-0.4703335145674646,0.4666629168840492,50,0.16,0.84,1365,36.13746,1.0
488,六弄咖啡馆,2016,314.0,8.8,1,0,0,1,-0.0041021485135636,0.6917339395942677,110,0.4818181818181818,0.5181818181818182,653,30.672478000000005,4.0
490,萧红,2013,,,1,0,0,0,-0.1011256496421992,0.655514227875532,22,0.4090909090909091,0.5909090909090909,197,31.51333,12.0
492,保持通话,2014,658.0,9.1,1,0,1,0,0.2841837596765646,0.5903937968434916,178,0.6741573033707865,0.3258426966292135,931,27.51792457142857,136.0
495,一句顶一万句,2016,,,1,0,0,1,0.0924852661004192,0.6024664264800916,19,0.4736842105263157,0.5263157894736842,2088,29.380325,7.0
497,戒烟不戒酒,2011,,,1,1,0,0,0.0366852588153311,0.6640145153442598,21,0.5714285714285714,0.4285714285714285,683,33.004826,15.0
500,全城通缉,2014,,,1,0,0,0,-0.2607621073722839,0.495008643879898,5,0.4,0.6,3488,31.144587,11.0
502,一夜惊喜,2013,,,0,1,0,1,0.2166833559749648,0.5894276016437945,8,0.625,0.375,17629,31.19797569896194,27.023257133132905
504,脱皮爸爸,2018,128.0,8.9,1,1,0,0,0.1227533605895818,0.6108895460411395,63,0.6349206349206349,0.365079365079365,803,29.435347,4.0
514,巴黎宝贝,2011,,,1,1,0,1,-0.0805021536193396,0.6644772659448862,19,0.4210526315789473,0.5789473684210527,2104,28.9297,14.0
516,青魇,2012,147.0,8.0,1,0,0,0,0.1390182449450266,0.735051506848621,58,0.603448275862069,0.396551724137931,805,30.194057,10.0
517,想飞的女孩,2025,,,1,0,0,0,-0.3556361473925716,0.6010520999660288,49,0.2857142857142857,0.7142857142857143,1697,40.68238399999999,2.0
518,最好的相遇,2023,,,1,0,0,1,0.1266101592292006,0.6245265837454457,26,0.5769230769230769,0.4230769230769231,1773,40.78947,2.0
533,蓝色骨头,2014,,,1,0,0,0,-0.0917509644558387,0.517532202406035,28,0.4642857142857143,0.5357142857142857,402,33.263256,4.0
